Report_No,Reported_Date,Reported Time,From_Date,From Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1
70059279,10-06-2009 00:00,03:24,10-05-2009 00:00,22:56,1850,35B,Possession of Drug E,333,PROSPECT AV/VICTOR ST,KANSAS CITY,64128,PJ2327,EPD,U,1,ARR,B,F,28,"PROSPECT AV VICTOR ST KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,W,M,27,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80019629,6/18/2009 0:00,22:50,6/18/2009 0:00,21:15,1849,35A,Possession/Sale/Dist,315,100  WHEELING AV,KANSAS CITY,64129,PJ0371,EPD,U,1,ARR,W,M,22,"100 WHEELING AV
KANSAS CITY, MO 64129
(39.11208492200046, -94.51061594899966)"
70060962,1/28/2009 0:00,18:44,1/28/2009 0:00,18:44,1352,280,Stolen Property OFFE,334,E 44 ST/INDIANA AV,KANSAS CITY,64130,PJ3525,EPD,U,1,VIC,U,U,,"44 ST INDIANA AV
KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,2,SUS,W,M,28,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
40045232,8/27/2009 0:00,22:30,8/27/2009 0:00,22:30,201,11A,Rape,112,E 13 ST/GRAND AV,KANSAS CITY,64106,PJ1089,CPD,U,1,ARR,B,M,19,"13 ST GRAND AV
KANSAS CITY, MO 64106
(39.10425374300047, -94.57449889699967)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,VIC,B,F,41,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
80044636,3/26/2009 0:00,07:35,3/25/2009 0:00,14:32,2601,90Z,Misc Violation,121,1300  INDEPENDENCE AV,KANSAS CITY,64110,PJ0506,CPD,U,1,SUS,B,M,20,"1300 INDEPENDENCE AV
KANSAS CITY, MO 64110
(39.10689864800048, -94.56651135699968)"
80035018,3/30/2009 0:00,22:16,3/30/2009 0:00,21:45,1001,250,Forgery,121,E 32 TE/PASEO,KANSAS CITY,,PJ2616,CPD,U,1,ARR,B,M,41,"32 TE
PASEO KANSAS CITY, MO
(39.068642541000486, -94.59592619799969)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,SUS,B,F,37,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
70096978,04-12-2009 00:00,01:00,04-12-2009 00:00,01:00,2601,90Z,Misc Violation,112,E 33 ST/TROOST AV,KANSAS CITY,64111,PJ2623,CPD,U,1,VIC,,,,"33 ST TROOST AV
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
70052092,4/14/2009 0:00,17:43,2/26/2009 0:00,21:45,1401,290,Property Damage,112,1300  CHERRY ST,KANSAS CITY,64109,PJ1191,CPD,U,1,ARR,B,M,49,"1300 CHERRY ST
KANSAS CITY, MO 64109
(39.098312716000464, -94.5763166219997)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,VIC,B,M,18,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
80012771,4/28/2009 0:00,16:07,4/28/2009 0:00,,3069,,Suicide by Other Mea,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,VIC,B,M,59,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
70062611,11/18/2009 0:00,10:20,08-10-2007 00:00,15:32,401,13A,Aggravated Assault (,424,NW 108 ST/ARROWHEAD TF,KANSAS CITY,,PC0125,NPD,U,1,VIC,W,M,43,"108 ST
ARROWHEAD TF KANSAS CITY, MO
(39.52368635500045, -99.11415045099966)"
80013103,7/14/2009 0:00,02:30,2/18/2008 0:00,01:56,799,,Auto Theft Outside S,223,E 59 ST/BRUCE R WATKINS DR,KANSAS CITY,64130,PJ4621,MPD,U,1,VIC,B,F,30,"59 ST BRUCE R WATKINS DR
KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
80024269,07-06-2009 00:00,18:48,07-06-2009 00:00,18:35,690,23H,Stealing All Other,112,1300  CHERRY ST,KANSAS CITY,64106,PJ1191,CPD,U,1,ARR,B,M,25,"1300 CHERRY ST
KANSAS CITY, MO 64106
(39.098312716000464, -94.5763166219997)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,B,M,57,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
70096978,04-12-2009 00:00,01:00,04-12-2009 00:00,01:00,2601,90Z,Misc Violation,112,E 33 ST/TROOST AV,KANSAS CITY,64111,PJ2623,CPD,U,1,ARR,B,M,49,"33 ST TROOST AV
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90050497,07-05-2009 00:00,11:48,07-04-2009 00:00,09:00,501,220,Burglary - Residence,114,2100  WASHINGTON ST,KANSAS CITY,64108,PJ1747,CPD,U,1,SUS,U,U,,"2100 WASHINGTON ST
KANSAS CITY, MO 64108
(39.086932023000486, -94.59020981899965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,2,VIC,W,M,19,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
90071375,09-12-2009 00:00,11:33,09-12-2009 00:00,09:00,640,23F,Stealing From Auto,313,INDEPENDENCE AV/MONROE AV,KANSAS CITY,64124,PJ0623,EPD,U,1,SUS,U,U,,"INDEPENDENCE AV MONROE AV KANSAS CITY, MO 64124
(39.10688247100046, -94.54360590699969)"
80053594,1/19/2009 0:00,08:28,,,101,09A,HOMICIDE,,,,,,,N,1,VIC,B,M,19,"MO
(38.63579372300046, -92.56629737199967)"
80057891,08-08-2009 00:00,22:01,08-08-2009 00:00,19:14,702,240,Auto Theft,333,4100  CHESTNUT AV,KANSAS CITY,64130,PJ3354,EPD,U,1,VIC,W,F,35,"4100 CHESTNUT AV
KANSAS CITY, MO 64130
(39.05163263600048, -94.55149613599968)"
80053594,1/19/2009 0:00,08:28,,,101,09A,HOMICIDE,,,,,,,U,1,SUS,B,M,17,"MO
(38.63579372300046, -92.56629737199967)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,3,VIC,W,M,21,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80053065,1/13/2009 0:00,10:01,07-08-2008 00:00,17:01,121,09C,Justifiable Homicide,243,HILLCREST RD/OLDHAM RD,KANSAS CITY,64134,PJ5676,MPD,U,3,SUS,W,M,33,"HILLCREST RD OLDHAM RD KANSAS CITY, MO 64134
(38.931213900000444, -94.5017765399997)"
80044636,3/26/2009 0:00,07:35,3/25/2009 0:00,14:32,2601,90Z,Misc Violation,121,1300  INDEPENDENCE AV,KANSAS CITY,64110,PJ0506,CPD,U,1,VIC,W,M,40,"1300 INDEPENDENCE AV
KANSAS CITY, MO 64110
(39.10689864800048, -94.56651135699968)"
80046155,4/23/2009 0:00,15:39,5/30/2008 0:00,11:00,2001,90F,Family Offense,112,1200  E LINWOOD BL ,KANSAS CITY,64110,PJ2543,CPD,U,1,ARR,B,F,21,"1200 LINWOOD
BL KANSAS CITY, MO 64110
(39.03595025700048, -94.5732171199997)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,VIC,W,M,17,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,SUS,U,F,26,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,3,SUS,W,F,23,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80047912,8/21/2009 0:00,19:04,8/21/2009 0:00,17:56,2601,90Z,Misc Violation,332,E 35 ST/JACKSON AV,KANSAS CITY,64128,PJ2784,EPD,U,2,VIC,,,,"35 ST JACKSON AV
KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
80048660,7/29/2009 0:00,12:44,05-11-2008 00:00,,831,13C,Intimidation,543,11500  BELMONT AV,KANSAS CITY,,PJ7212,SPD,U,2,SUS,W,F,55,"11500 BELMONT AV
KANSAS CITY, MO
(38.91581402200046, -94.52088507099967)"
80066126,1/19/2009 0:00,15:53,,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,SUS,W,M,45,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80053065,1/13/2009 0:00,10:01,07-08-2008 00:00,17:01,121,09C,Justifiable Homicide,243,HILLCREST RD/OLDHAM RD,KANSAS CITY,64134,PJ5676,MPD,N,1,SUS,W,M,42,"HILLCREST RD OLDHAM RD KANSAS CITY, MO 64134
(38.931213900000444, -94.5017765399997)"
80060498,04-10-2009 00:00,18:26,04-10-2009 00:00,18:26,2601,90Z,Misc Violation,113,1300  CHERRY ST,KANSAS CITY,64109,PJ1191,CPD,U,1,ARR,B,M,33,"1300 CHERRY ST
KANSAS CITY, MO 64109
(39.098312716000464, -94.5763166219997)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,2,SUS,W,F,47,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80048660,7/29/2009 0:00,12:44,05-11-2008 00:00,,831,13C,Intimidation,543,11500  BELMONT AV,KANSAS CITY,,PJ7212,SPD,U,1,VIC,W,F,51,"11500 BELMONT AV
KANSAS CITY, MO
(38.91581402200046, -94.52088507099967)"
