Date.Rptd,DR.NO,DATE.OCC,TIME.OCC,AREA,AREA.NAME,RD,Crm.Cd,CrmCd.Desc,Status,Status.Desc,LOCATION,Cross.Street,Location.1,Formatted Address,Zipcode
3/20/2013,132007717,3/20/2013,2015,20,Olympic,2004,997,TRAFFIC DR #,UNK,Unknown,              OXFORD,   OAKWOOD,"(34.0776, -118.308)","4650-4652 Oakwood Ave, Los Angeles, CA 90004, USA",90004
3/10/2013,130608787,3/10/2013,445,6,Hollywood,635,997,TRAFFIC DR #,UNK,Unknown,              ODIN                         ST,   CAHUENGA                     BL,"(34.1113, -118.3336)","2314 N Cahuenga Blvd, Los Angeles, CA 90068, USA",90068
12/18/2013,131820260,12/18/2013,745,18,Southeast,1839,997,TRAFFIC DR #,UNK,Unknown,              105TH                        ST,   CROESUS                      AV,"(33.9406, -118.2338)","2148 E 105th St, Los Angeles, CA 90002, USA",90002
10/18/2013,131817514,10/18/2013,1730,18,Southeast,1827,997,TRAFFIC DR #,UNK,Unknown,              101ST                        ST,   JUNIPER                      ST,"(33.9449, -118.2332)","10100-10198 Juniper St, Los Angeles, CA 90002, USA",90002
5/26/2013,130510483,5/25/2013,2000,5,Harbor,507,440,THEFT PLAIN - PETTY (UNDER $400),UNK,Unknown, 1300      W  SEPULVEDA                    BL,,"(33.8135, -118.2992)","1303 Sepulveda Blvd, Torrance, CA 90501, USA",90501
5/24/2013,131213618,5/22/2013,1145,12,77th Street,1211,997,TRAFFIC DR #,UNK,Unknown,              54TH,   CRENSHAW,"(33.9931, -118.3308)","3400 W 54th St, Los Angeles, CA 90043, USA",90043
12/31/2013,130101427,12/31/2013,1020,1,Central,176,745,VANDALISM - MISDEAMEANOR,IC,Invest Cont,  700         WALL                         ST,,"(34.0419, -118.2485)","400 E 7th St, Los Angeles, CA 90014, USA",90014
12/31/2013,130101428,12/31/2013,1550,1,Central,171,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,  800      W  OLYMPIC                      BL,,"(34.045, -118.264)","1001 S Figueroa St, Los Angeles, CA 90015, USA",90015
12/31/2013,130126627,12/31/2013,200,1,Central,164,860,BATTERY WITH SEXUAL CONTACT,IC,Invest Cont,  600      S  SPRING                       ST,,"(34.046, -118.2509)","548-598 S Spring St, Los Angeles, CA 90013, USA",90013
12/31/2013,130126666,12/31/2013,1320,1,Central,127,997,TRAFFIC DR #,IC,Invest Cont,              TEMPLE                       ST,   LOS ANGELES                  ST,"(34.0534, -118.2409)","198 N Los Angeles St, Los Angeles, CA 90012, USA",90012
