OBJECTID,Identifier,OccurrenceDate,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,CompStatMonth,CompStatDay,CompStatYear,Offense,OffenseClassification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Latitude,Longitude
1,987726459,9/21/1982,Tuesday,Sep,21,1982,2300,Apr,9,2015,MURDER,FELONY,,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
2,987726401,8/8/1991,Thursday,Aug,8,1991,2200,Mar,10,2015,MURDER,FELONY,A,30,Manhattan,NYPD,996322,238267,40.82066349,-73.95638541
3,987726875,3/17/2014,Monday,Mar,17,2014,1200,Jun,26,2015,MURDER,FELONY,,67,Brooklyn,NYPD,999132,175384,40.64806092,-73.94637199
4,987725414,7/30/2014,Wednesday,Jul,30,2014,2100,Jan,28,2015,MURDER,FELONY,H,120,Staten Island,NYPD,959784,171202,40.63656094,-74.08815305
5,987726422,8/8/2014,Friday,Aug,8,2014,2300,Mar,13,2015,MURDER,FELONY,D,41,Bronx,NYPD,1013232,236725,40.81639185,-73.89529641
6,987725472,8/10/2014,Sunday,Aug,10,2014,500,Feb,27,2015,MURDER,FELONY,A,75,Brooklyn,NYPD,1011667,185397,40.67551445,-73.90115961
7,987726861,10/17/2014,Friday,Oct,17,2014,2100,Jun,22,2015,MURDER,FELONY,,94,Brooklyn,NYPD,994673,201533,40.71984033,-73.9624002
8,987726825,10/27/2014,Monday,Oct,27,2014,1500,Jun,16,2015,MURDER,FELONY,,44,Bronx,NYPD,1007501,243435,40.83482583,-73.91597788
9,987726334,11/20/2014,Thursday,Nov,20,2014,2300,Feb,11,2015,MURDER,FELONY,M,75,Brooklyn,NYPD,1017141,183798,40.67110691,-73.88143296
10,987726136,12/27/2014,Saturday,Dec,27,2014,1600,Jan,8,2015,MURDER,FELONY,A,113,Queens,NYPD,1040003,183575,40.67038037,-73.79902
11,987726177,1/1/2015,Thursday,Jan,1,2015,200,Jan,1,2015,MURDER,FELONY,E,40,Bronx,NYPD-HOUSING BUREAU,1009769,236748,40.81646566,-73.90780731
12,987726176,1/1/2015,Thursday,Jan,1,2015,700,Jan,1,2015,MURDER,FELONY,C,45,Bronx,NYPD,1034505,240449,40.82651775,-73.81841444
13,987726179,1/2/2015,Friday,Jan,2,2015,200,Jan,2,2015,MURDER,FELONY,F,107,Queens,NYPD-HOUSING BUREAU,1035760,205382,40.73026107,-73.81414857
14,987726186,1/2/2015,Friday,Jan,2,2015,1900,Jan,2,2015,MURDER,FELONY,B,23,Manhattan,NYPD-HOUSING BUREAU,999165,225481,40.78556509,-73.94614208
15,987726188,1/3/2015,Saturday,Jan,3,2015,1900,Jan,3,2015,MURDER,FELONY,A,75,Brooklyn,NYPD,1012362,185943,40.67701092,-73.89865177
16,987726185,1/4/2015,Sunday,Jan,4,2015,1500,Jan,4,2015,MURDER,FELONY,F,17,Manhattan,NYPD,994064,213844,40.75363169,-73.96457923
